"Car_Brand","Car_Model","Year","Car_Type","Price_in_GBP","Mileage_in_miles","Transmission","Fuel","Engine_Size_in_cc"
"Vauxhall","Combo Life",2020,"Mpv",13124,30501,"Automatic","Diesel",1500
"Peugeot","308",2021,"Hatchback",10669,42863,"Manual","Petrol",1200
"Kia","Sportage",2023,"Estate",27480,15858,"Automatic","Hybrid",1600
"Audi","A5 Sportback 35 TDI Sport S Tronic",2022,"Sportback",22690,52630,"Automatic","Diesel",2000
"Nissan","Leaf N-Connecta Electric Hatchback",2023,"Hatchback",10431,57299,"Automatic","Electric",0
"Kia","Picanto",2020,"Hatchback",8367,18970,"Manual","Petrol",1000
"VW","T-Cross -",2020,"Estate",18362,19345,"Automatic","Petrol",1500
"Land Rover","Range Rover Velar",2023,"Estate",38502,11866,"Automatic","Diesel",2000
"VW","Tiguan",2022,"Estate",20162,20676,"Manual","Petrol",1500
"VW","Tiguan",2020,"Estate",18697,41437,"Automatic","Diesel",2000
"Land Rover","Range Rover evoque",2023,"Suv",29544,17289,"Automatic","Hybrid",1500
"Toyota","Corolla",2022,"Hatchback",17465,17661,"Automatic","Hybrid",1800
"Mini","Cooper Clubman",2020,"Estate",14582,22867,"Manual","Petrol",1500
"Mini","Cooper Hatch",2021,"Hatchback",14766,4965,"Manual","Petrol",1500
"Kia","EV6 Gt Line Hatchback Electric 225 Bhp",2022,"Hatchback",24784,27296,"Automatic","Electric",0
"Vauxhall","Corsa",2021,"Hatchback",11477,13657,"Manual","Petrol",1200
"Toyota","Yaris Hybrid",2019,"Hatchback",13699,13105,"Automatic","Hybrid",1500
"Peugeot","2008",2022,"Suv",16696,10597,"Manual","Petrol",1200
"VW","Tiguan",2020,"Estate",20088,37327,"Automatic","Diesel",2000
"Honda","HR-V",2020,"Hatchback",13601,41152,"Manual","Diesel",1600
"Volvo","XC90",2023,"Estate",42823,59397,"Automatic","Hybrid",2000
"Nissan","Leaf Tekna Electric Hatchback",2018,"Hatchback",8547,38100,"Automatic","Electric",0
"VW","Tiguan",2021,"Estate",18097,34200,"Manual","Petrol",1500
"Nissan","Micra",2021,"Hatchback",9445,40748,"Manual","Petrol",1000
"Mercedes","C300e C-ClassAMG Line 9G-Tronic Saloon",2024,"Saloon",39139,5757,"Automatic","Hybrid",2000
"Renault","Kadjar",2020,"Hatchback",12367,29463,"Manual","Petrol",1300
"Vauxhall","Astra 2 Turbo 130 Ultimate Hatchback",2023,"Hatchback",20063,8442,"Manual","Petrol",1200
"Peugeot","e-2008 Allure SUV",2020,"Suv",12367,20000,"Automatic","Electric",0
"VW","Golf VIII",2021,"Hatchback",18089,7183,"Manual","Petrol",1500
"Peugeot","Boxer",2022,"Van",15714,59445,"Manual","Diesel",2200
"VW","Polo",2023,"Hatchback",15900,3621,"Manual","Petrol",1000
"Peugeot","e-Expert 1000 Asphalt Premium + Van",2023,"Van",25194,879,"Automatic","Electric",0
"Vauxhall","Combo Life",2019,"Mpv",12318,32277,"Automatic","Diesel",1500
"Audi","Q4 Sportback e-tron e-tron 45 S Line [Leather]",2024,"Sportback",35877,2250,"Automatic","Electric",0
"Nissan","Qashqai",2021,"Suv",17199,29795,"Automatic","Hybrid",1300
"VW","T6.1",2022,"Van",32719,31478,"Automatic","Diesel",2000
"Peugeot","Expert 1400",2021,"Van",12599,57136,"Manual","Diesel",2000
"Audi","Q4 Sportback e-tron e-tron 45 S Line [Leather]",2024,"Sportback",38821,3778,"Automatic","Electric",0
"Ford","Transit Custom",2021,"Van",21838,40455,"Automatic","Diesel",2000
"Land Rover","Defender",2021,"Estate",49143,31209,"Automatic","Diesel",3000
"Hyundai","Tucson",2020,"Estate",14142,64312,"Automatic","Petrol",1600
"Peugeot","208",2023,"Hatchback",15910,13223,"Automatic","Petrol",1200
"Vauxhall","Corsa-e SRi Premium Electric Hatchback",2022,"Hatchback",11412,19909,"Automatic","Electric",0
"Nissan","Qashqai",2020,"Hatchback",13815,61500,"Automatic","Petrol",1300
"Hyundai","Tucson",2023,"Estate",25413,13301,"Automatic","Hybrid",1600
"Nissan","Qashqai",2021,"Hatchback",13385,48000,"Manual","Petrol",1300
"Skoda","Karoq SUV",2022,"Suv",16280,22478,"Manual","Petrol",1000
"Skoda","Enyaq iV 60 Loft Electric Estate",2022,"Estate",21636,11193,"Automatic","Electric",0
