"Car_brand","Car_model","Mileage","Year","Transmission","Location","Fuel","Engine_Size (cc)","Price (£)","Car Type"
"Vauxhall","Corsa",17121,"2021","Automatic","West Yorkshire","Petrol",1200,13715,NA
"VW","Polo",43186,"2021","Manual","Hampshire","Petrol",1000,12264,NA
"Ford","Focus",9762,"2021","Manual","West Yorkshire","Hybrid",1000,14534,NA
"Mercedes","A35 AMG A-Class4Matic Executive",23500,"2021","Automatic","Durham","Petrol",2000,24404,NA
"Vauxhall","Corsa",13657,"2021","Manual","West Midlands","Petrol",1200,11450,"Hatchback"
"VW","Polo",59226,"2021","Manual","Hampshire","Petrol",1000,11281,NA
"Ford","Focus",33091,"2021","Manual","West Yorkshire","Hybrid",1000,12819,NA
"Audi","A1 25 TFSI Technik",19466,"2021","Manual","West Yorkshire","Petrol",1000,15546,NA
"Audi","A1 35 TFSI S Line S Tronic",35924,"2021","Automatic","Essex","Petrol",1500,18575,NA
"Ford","Focus",22376,"2021","Manual","Hampshire","Hybrid",1000,13792,"Hatchback"
"Peugeot","308",25444,"2021","Manual","West Midlands","Petrol",1200,11640,"Hatchback"
"Hyundai","i10",15519,"2021","Manual","Northamptonshire","Petrol",1000,11760,NA
"Peugeot","308",21873,"2021","Manual","Manchester","Petrol",1200,12004,NA
"Audi","A1 25 TFSI Technik",31347,"2021","Manual","Manchester","Petrol",1000,14498,NA
"VW","Golf VIII",7183,"2021","Manual","London","Petrol",1500,18032,"Hatchback"
"Audi","A1 25 TFSI Technik",19119,"2021","Manual","Durham","Petrol",1000,15635,NA
"VW","T-Cross -",26182,"2021","Automatic","Nottinghamshire","Petrol",1500,17927,NA
"Alfa Romeo","Stelvio",47593,"2021","Automatic","Gloucestershire","Petrol",2000,21355,NA
"Mini","Cooper Countryman",20541,"2022","Automatic","Durham","Petrol",1500,20631,"Hatchback"
"Mini","Cooper S Countryman",18196,"2020","Automatic","West Yorkshire","Petrol",2000,20178,"Hatchback"
"Mini","Cooper Countryman",41343,"2017","Automatic","Derbyshire","Petrol",1500,14288,NA
"VW","T-Cross -",19345,"2020","Automatic","Tyne and Wear","Petrol",1500,18395,"Estate"
"Jaguar","F-Pace",21000,"2022","Automatic","Berkshire","Petrol",2000,34165,"Estate"
"Vauxhall","Grandland X",40545,"2020","Automatic","London","Petrol",1200,12418,"Hatchback"
"Skoda","Kodiaq",50091,"2021","Automatic","Northamptonshire","Petrol",2000,22814,"4x4"
"BMW","X1 20i xLine Step",7640,"2019","Automatic","London","Petrol",2000,20697,NA
"Mini","Cooper Clubman",25150,"2020","Automatic","Leicestershire","Petrol",1500,14930,NA
"Mini","Cooper Clubman",39167,"2020","Automatic","Manchester","Petrol",1500,16123,NA
"Peugeot","3008",26057,"2022","Automatic","Lancashire","Hybrid",1600,19608,NA
"Peugeot","2008",22569,"2022","Manual","Leicestershire","Petrol",1200,15538,"Suv"
"Peugeot","2008",8420,"2023","Automatic","Lancashire","Petrol",1200,18919,NA
"BMW","320 3 Series d M Sport Step",78873,"2020","Automatic","Durham","Diesel",2000,17152,NA
"Vauxhall","Mokka Ultimate Electric Hatchback",16697,"2022","Automatic","North Yorkshire","Electric",0,14215,"Hatchback"
"Vauxhall","Mokka e Ultimate",21204,"2022","Automatic","London","Electric",0,13973,NA
"Peugeot","208",6236,"2021","Manual","West Midlands","Petrol",1200,13009,NA
"Peugeot","3008",14323,"2022","Automatic","West Midlands","Petrol",1200,20383,NA
"VW","ID.4 1ST Edition Pro Performance SUV",34453,"2021","Automatic","Durham","Electric",0,20056,"Suv"
"Audi","e-tron 50 Quattro Sport",42901,"2020","≈ 341 miles","London","Electric",0,17995,NA
"Jaguar","F-Type",15240,"2022","Automatic","Leicestershire","Petrol",2000,38412,NA
"Audi","A5",13854,"2022","Automatic","Hampshire","Petrol",2000,26136,"Coupe"
"BMW","420 4 Series",17720,"2022","Automatic","Hampshire","Petrol",2000,27571,"Coupe"
"Peugeot","508",12158,"2022","Automatic","Manchester","Hybrid",1600,18437,NA
"Peugeot","5008",13905,"2024","Automatic","Kent","Hybrid",1200,26907,NA
"BMW","330e 3 SeriesM Sport Step",10625,"2024","Automatic","Hampshire","Hybrid",2000,34815,NA
"Mini","Cooper Hatchback",16003,"2021","Manual","West Midlands","Petrol",1500,13555,"Hatchback"
"Peugeot","208",21617,"2022","Manual","Leicestershire","Petrol",1200,12946,NA
"Vauxhall","Astra 2 Turbo 130 GS Petrol Estate",1465,"2024","Automatic","Cumbria","Petrol",1200,20792,"Estate"
"Citroën","Berlingo",22792,"2019","Automatic",NA,"Diesel",1500,16623,NA
"Vauxhall","Combo Life",19100,"2019","Automatic","West Sussex","Diesel",1500,13498,NA
"Peugeot","2008",12060,"2024","Automatic","London","Petrol",1200,19499,NA
"Peugeot","3008",8126,"2024","Automatic","Kent","Hybrid",1200,23919,NA
"Peugeot","2008",28998,"2021","Manual","London","Petrol",1200,14921,NA
"Honda","Jazz",10566,"2021","Automatic","Durham","Hybrid",1500,16992,"Hatchback"
"Skoda","Superb",15931,"2021","Automatic","Durham","Petrol",1400,20999,NA
"BMW","840 8 Series i",30351,"2020","Automatic","Wiltshire","Petrol",3000,32044,NA
"Audi","A3 30 TDI 116 SE Technik Hatchback",30427,"2019","Manual","Durham","Diesel",1600,13754,"Hatchback"
"Renault","Captur",11422,"2022","Manual","Lincolnshire","Petrol",1000,13795,NA
"Audi","A6 55 TFSI Quattro Black Edition S Tronic [C+S]",19459,"2021","Automatic","Hampshire","Petrol",3000,31490,NA
"Skoda","Kamiq",14,"2024","Manual","Essex","Petrol",1000,18608,NA
"Mini","Cooper Hatchback",2083,"2023","Automatic","Berkshire","Petrol",1500,20846,"Hatchback"
"VW","Tiguan",36000,"2021","Automatic","Bedfordshire","Petrol",1500,19390,NA
"Skoda","Karoq",12646,"2023","Manual","London","Petrol",1000,18450,"Suv"
"Ford","Focus",55427,"2015","Automatic","Hertfordshire","Petrol",1500,7990,NA
"Audi","Q3 35 TDI Sport S Tronic",22121,"2021","Automatic","Hampshire","Diesel",2000,24990,NA
"Renault","Mégane IV",28600,"2020","Manual","Lincolnshire","Petrol",1300,11335,NA
"Vauxhall","Combo Life",26673,"2019","Automatic","Leicestershire","Diesel",1500,12687,NA
"VW","Golf VII",32935,"2019","Automatic","West Midlands","Petrol",2000,22236,NA
"Citroën","C5 Aircross",27397,"2021","Manual","Manchester","Petrol",1200,14148,"Suv"
"Mini","Cooper S Countryman",42124,"2021","Manual","South Yorkshire","Petrol",2000,16945,NA
"VW","Tiguan",19982,"2021","Manual","Durham","Petrol",1500,18309,NA
"Seat","Ateca",31014,"2021","Manual","Shropshire","Petrol",1500,16156,NA
"Vauxhall","Mokka",12807,"2021","Manual","Manchester","Petrol",1200,13927,NA
"Citroën","C5 Aircross",15464,"2021","Automatic","Worcestershire","Petrol",1200,16767,NA
"Honda","Jazz",15000,"2022","Automatic","Lancashire","Hybrid",1500,15490,NA
"Kia","Niro",34745,"2022","Automatic","Lancashire","Electric/Petrol",1600,16139,NA
"Mini","Cooper S Countryman",33980,"2021","Automatic","Shropshire","Hybrid",1500,18241,NA
"Ford","Puma",20492,"2022","Manual","Essex","Petrol",1500,18566,NA
"Audi","S4 S4TDI 341 Quattro Black Edition Tiptronic",31650,"2021","Automatic","Leicestershire","Diesel",3000,32500,NA
"Hyundai","Tucson",24953,"2022","Automatic","South Yorkshire","Hybrid",1600,18993,NA
"Dacia","Sandero",13894,"2021","Manual","Lincolnshire","Petrol",1000,9440,NA
"Mini","Cooper S Countryman",14998,"2021","Automatic","Shropshire","Hybrid",1500,20995,NA
"Toyota","RAV4 Hybrid",26110,"2018","Automatic","North Yorkshire","Hybrid",2500,18965,NA
"Kia","Sportage",28315,"2023","Automatic","Nottinghamshire","Diesel",1600,28677,NA
"Mercedes","C43 AMG C-Class4Matic Edition 9G-Tronic",32592,"2020","Automatic","East Yorkshire","Petrol",3000,30004,NA
"BMW","X4 MHT M Sport Step",5230,"2024","Automatic","Wiltshire","Diesel",2000,48319,NA
"Audi","A3 Saloon 35 TDI Sport S Tronic",40762,"2022","Automatic","Merseyside","Diesel",2000,20786,"Saloon"
"Honda","HR-V",75000,"2017","Manual","Manchester","Diesel",1600,7975,"Suv"
"Ford","Kuga",19996,"2022","Manual","Delivered to you","Diesel",1500,17998,NA
NA,"Ssangyong Korando Ventura",12827,"2022","≈ 339 miles","East Yorkshire","Electric",0,15748,NA
"Dacia","Spring Extreme 65",13,"2024","≈ 220 miles","Delivered to you","Electric",0,13495,NA
"Dacia","Spring Extreme 65",15,"2024","≈ 220 miles","Delivered to you","Electric",0,13495,NA
"Audi","e-tron 50 Quattro Sport",33284,"2020","≈ 341 miles","Lincolnshire","Electric",0,19899,NA
"Kia","e-Niro 4+",28106,"2021","≈ 463 miles","Staffordshire","Electric",0,17441,NA
"Kia","e-Niro 4+ SUV",46742,"2021","≈ 463 miles","Lancashire","Electric",0,16572,"Suv"
"Kia","e-Niro 2",29909,"2022","≈ 463 miles","London","Electric",0,16055,NA
"VW","Tiguan",11863,"2018","Automatic","East Yorkshire","Diesel",2000,21381,NA
"Skoda","Karoq",4457,"2024","Automatic","Essex","Petrol",1500,23649,NA
"Seat","Leon Estate",72476,"2021","Manual","Northamptonshire","Diesel",2000,11124,"Estate"
"VW","T-Roc",22092,"2022","Automatic","Hampshire","Diesel",2000,21990,NA
"Skoda","Superb",18415,"2022","Manual","Hampshire","Diesel",2000,21790,NA
"Peugeot","208",8850,"2023","Automatic","Worcestershire","Petrol",1200,16768,NA
"VW","ID.5 Pro Performance Style",7878,"2023","Automatic","Staffordshire","Electric",0,26156,NA
"Peugeot","3008",16939,"2023","Automatic","Surrey","Petrol",1200,19746,NA
"Tesla","Model 3 (Dual Motor) Long Range 4WDE",49365,"2021","≈ 448 miles","West Yorkshire","Electric",0,19021,NA
"VW","Sharan",45429,"2020","Automatic","Hampshire","Diesel",2000,17282,NA
"Tesla","Model 3 Standard Range Plus RWD",24588,"2020","≈ 409 miles","Hampshire","Electric",0,17753,NA
"Kia","e-Niro 4+",59257,"2021","≈ 463 miles","Leicestershire","Electric",0,14989,NA
"BMW","iX3 Premier Edition",30870,"2021","≈ 461 miles","Hampshire","Electric",0,24284,NA
"VW","Arteon",94310,"2023","Automatic","London","Diesel",2000,18636,"Shooting Brake"
"Tesla","Model 3 Standard Range Plus RWD",27471,"2021","≈ 448 miles","Hampshire","Electric",0,18405,NA
"Mercedes","C300 C-Class",69152,"2020","Automatic","West Yorkshire","Diesel",2000,17765,NA
"Kia","Sportage",32380,"2022","Automatic","Manchester","Diesel",1600,26711,NA
"Skoda","Superb Estate",61383,"2021","Manual","Hampshire","Diesel",2000,15344,"Estate"
"Tesla","Model 3 Standard Range Plus RWD",30004,"2021","≈ 678 miles","Staffordshire","Electric",0,18591,NA
"Jaguar","I-Pace 400 HSE 4WD",21689,"2021","≈ 470 miles","Hampshire","Electric",0,24275,NA
"BMW","i3",40200,"2020","≈ 300 miles","London","Electric",0,11298,NA
"Renault","Zoe i Dynamique Nav R110",18995,"2019","≈ 300 miles","London","Electric",0,7746,NA
"Hyundai","Ioniq 6 Premium",27954,"2022","Automatic","Staffordshire","Electric",0,12041,NA
"Dacia","Spring Extreme 65",385,"2024","≈ 220 miles","Delivered to you","Electric",0,13495,NA
"Citroën","Berlingo Multispace",53800,"2018","Manual","Leicestershire","Petrol",1200,10827,NA
"Kia","e-Niro 2",33895,"2021","≈ 463 miles","Manchester","Electric",0,14907,NA
"Skoda","Superb",39299,"2021","Manual","Hampshire","Diesel",2000,18350,NA
"Kia","e-Niro 4+",37974,"2021","≈ 463 miles","Hampshire","Electric",0,16910,NA
"Vauxhall","Corsa-e SRi Premium",17437,"2022","Automatic","Manchester","Electric",0,11287,NA
"Polestar","2 Dual Motor Long Range Fastback 4WDE",22630,"2022","≈ 591 miles","London","Electric",0,22670,"Fastback"
"Kia","Sportage",11292,"2024","Automatic","Delivered to you","Diesel",1600,28295,NA
"Kia","Niro",4520,"2022","Automatic","London","Hybrid",1600,20927,NA
"Hyundai","Tucson",38551,"2022","Automatic","Nottinghamshire","Hybrid",1600,21395,NA
"Jaguar","I-Pace 400 HSE Black 4WD",25880,"2022","≈ 470 miles","Hampshire","Electric",0,25990,NA
"Kia","Sportage",4494,"2024","Automatic","London","Petrol",1600,29370,NA
"Toyota","Yaris Cross",14262,"2023","Automatic","Hertfordshire","Hybrid",1500,19790,NA
"Fiat","500e Electric La Prima",16655,"2022","≈ 331 miles","West Yorkshire","Electric",0,15047,NA
"MG","MG4 EV SE EV",6708,"2023","≈ 350 miles","Warwickshire","Electric",0,14995,NA
"Land Rover","Range Rover Sport",38996,"2019","Automatic","Hampshire","Diesel",3000,31678,NA
"Audi","Q5 45 TFSI Quattro Sport S Tronic",36955,"2021","Automatic","Lancashire","Petrol",2000,27926,NA
"Dacia","Sandero",10821,"2023","Manual","Lincolnshire","Petrol",1000,12385,NA
"Ford","Mustang Mach-E Standard Range RWD",24285,"2021","≈ 400 miles","Leicestershire","Electric",0,21421,NA
"Citroën","C4 SpaceTourer Grand1.5 BlueHDi 130 Flair",42742,"2019","Manual","Derbyshire","Diesel",1500,13047,NA
"Audi","Q4 Sportback e-tron e-tron 45 S Line [Leather]",16631,"2024","≈ 539 miles","Dorset","Electric",0,34800,"Sportback"
"VW","Polo",34989,"2022","Manual","Lincolnshire","Petrol",1000,13799,NA
"Ford","Kuga",16328,"2022","Automatic","Hampshire","Hybrid",2500,20505,NA
"Skoda","Karoq SE",18925,"2023","Automatic","Hertfordshire","Petrol",1500,21643,NA
"Vauxhall","Grandland X",17700,"2021","Manual","Nottinghamshire","Diesel",1500,14333,NA
"Skoda","Karoq ŠkodaEstate",1847,"2024","Automatic","Hertfordshire","Petrol",1500,24489,"Estate"
